hskId,simplified,traditional,pinyin,definitions,book,hsk,lesson,dialog,nw,example,exampleTranslation,oofc,pn,weight,index
531,关,關,guān,mountain pass/to close/to shut/to turn off/to concern/to involve,3,3,11,2,10,请把灯关了。,"Turn off the lights, please.",,,655,1
531,关,關,guān,surname Guan,3,3,11,2,10,请把灯关了。,"Turn off the lights, please.",,,654,0
532,地铁,地鐵,dì tiě,subway/metro,3,3,11,2,11,我们坐出租车去再乘地铁回来好吗？,Shall we take a cab there and come back by subway ?,,,186,0
533,双,雙,shuāng,surname Shuang,3,3,11,3,12,我想买双鞋。,"Yes, I'd like a pair of shoes.",,,1707,0
533,双,雙,shuāng,two/double/pair/both/even (number),3,3,11,3,12,我想买双鞋。,"Yes, I'd like a pair of shoes.",,,1708,1
534,筷子,筷子,kuài zi,"chopsticks/CL:對|对[duì],根[gēn],把[bǎ],雙|双[shuāng]",3,3,11,3,13,一次性筷子,throwaway chopsticks,,,84,0
535,啤酒,啤酒,pí jiǔ,"beer (loanword)/CL:杯[bēi],瓶[píng],罐[guàn],桶[tǒng],缸[gāng]",3,3,11,3,14,他酿啤酒自用。,He brewed beer for home use.,,,52,0
536,口,口,kǒu,"mouth/classifier for things with mouths (people, domestic animals, cannons, wells etc)/classifier for bites or mouthfuls",3,3,11,3,15,那只猫咬了他一口。,The cat gave him a nip.,,,801,0
537,瓶子,瓶子,píng zi,bottle/CL:個|个[gè],3,3,11,3,16,她凝视着桌上的瓶子。,She stared at the bottle on the table.,,,87,0
538,笔记本电脑,筆記本電腦,bǐ jì běn diàn nǎo,"laptop/notebook (computer)/CL:臺|台[tái],部[bù]",3,3,11,4,17,我真的喜欢你的新笔记本电脑,I Really Like Your New Laptop Computer,,,33,0
539,电子邮件,電子郵件,diàn zǐ yóu jiàn,"email/CL:封[fēng],份[fèn]",3,3,11,4,18,我给你写电子邮件了。,I write you an e-mail.,,,85,0
540,习惯,習慣,xí guàn,habit/custom/usual practice/to be used to/CL:個|个[gè],3,3,11,4,19,意志力可以克服习惯。,Will can conquer habit.,,,732,0
541,太阳,太陽,tài yang,sun/CL:個|个[gè]/abbr. for 太陽穴|太阳穴[tài yáng xué],3,3,12,1,1,万物生长都依靠太阳。,All living things depend on (upon) the sun for their growth.,,,405,0
542,西,西,xī,the West/abbr. for Spain 西班牙[xī bān yá]/Spanish,3,3,12,1,2,公司设在西海岸。,The company has located on the West Coast.,,,1844,0
542,西,西,xī,west,3,3,12,1,2,公司设在西海岸。,The company has located on the West Coast.,,,1847,1
543,生气,生氣,shēng qì,to get angry/to take offense/angry/vitality/liveliness,3,3,12,1,3,她的拒绝使我生气。,I was piqued by her refusal.,,,245,0
544,行李箱,行李箱,xíng li xiāng,suitcase/baggage compartment/overhead bin/(car) trunk/boot,3,3,12,2,4,请你把行李箱打开。,Let me check your baggage.,,,8,0
545,自己,自己,zì jǐ,oneself/one's own,3,3,12,2,5,她在信封上写下自己的地址。,She addressed the envelope to herself.,,,14027,0
546,包,包,bāo,"to cover/to wrap/to hold/to include/to take charge of/to contract (to or for)/package/wrapper/container/bag/to hold or embrace/bundle/packet/CL:個|个[gè],隻|只[zhī]",3,3,12,2,6,把你的包放到行李架上。,Put your bag in the luggage-rack.,,,1648,1
546,包,包,bāo,surname Bao,3,3,12,2,6,把你的包放到行李架上。,Put your bag in the luggage-rack.,,,1647,0
547,发现,發現,fā xiàn,to find/to discover,3,3,12,3,7,她发现那人是个庸医。,She discovered that the man was a quack.,,,1889,0
548,护照,護照,hù zhào,"passport/CL:本[běn],個|个[gè]",3,3,12,3,8,麻烦请给我你的护照。,"May I see your passport, please ?",,,45,0
549,起飞,起飛,qǐ fēi,(of an aircraft) to take off,3,3,12,3,9,飞机定于早上5点起飞。,The plane is timed to take off at 5 a.m.,,,13,0
550,司机,司機,sī jī,chauffeur/driver/CL:個|个[gè],3,3,12,3,10,司机倒车。,The driver backed his car.,,,76,0
551,教,教,jiāo,to teach,3,3,12,4,11,四年级很难教。,Form 4 is/are a difficult class to teach.,,,1913,0
552,画,畫,huà,"to draw/picture/painting/CL:幅[fú],張|张[zhāng]/classifier for paintings etc/variant of 劃|划[huà]",3,3,12,4,12,画一条直线。,Draw a straight line.,,,1303,0
553,需要,需要,xū yào,to need/to want/to demand/to require/requirement/need,3,3,12,4,13,他们仍然需要学习,You still need to study.,,,4914,0
554,黑板,黑板,hēi bǎn,"blackboard/CL:塊|块[kuài],個|个[gè]",3,3,12,4,14,硬粉笔会把黑板划坏。,Hard chalk scratches the blackboard.,,,9,0
555,终于,終於,zhōng yú,at last/in the end/finally/eventually,3,3,13,1,1,我终于克服了我的惧高心理。,I finally conquered my fear of heights.,,,424,0
556,爷爷,爺爺,yé ye,(coll.) father's father/paternal grandfather/CL:個|个[gè],3,3,13,1,2,他去看他爷爷了。,He's visiting his grandfather.,,,86,0
557,礼物,禮物,lǐ wù,"gift/present/CL:件[jiàn],個|个[gè],份[fèn]",3,3,13,1,3,请接受这小小的礼物。,Please accept this modest gift.,,,1426,0
558,奶奶,奶奶,nǎi nai,(informal) grandma (paternal grandmother)/(respectful) mistress of the house/CL:位[wèi]/(coll.) boobies/breasts,3,3,13,1,4,那是我奶奶。,That is my grandmother.,,,75,0
559,遇到,遇到,yù dào,to meet/to run into/to come across,3,3,13,2,5,他在工作中遇到许多麻烦。,He came in for a lot of trouble in his work.,,,701,0
560,一边,一邊,yī biān,one side/either side/on the one hand/on the other hand/doing while,3,3,13,2,6,他们一边喝咖啡一边聊天。,They chatted over a cup of coffee.,,,122,0
561,过去,過去,guò qù,(in the) past/former/previous/to go over/to pass by,3,3,13,2,7,他反省过去的错误。,He reflected on his past mistakes.,,,0,0
562,一般,一般,yī bān,same/ordinary/so-so/common/general/generally/in general,3,3,13,3,8,冬天英国气候一般是寒冷的。,Cold weather is general in Britain in the winter.,,,1142,0
563,愿意,願意,yuàn yì,to wish/to want/ready/willing (to do sth),3,3,13,3,9,我愿意对他作出让步。,I am willing to meet him halfway.,,,693,0
564,起来,起來,qǐ lai,to stand up/to get up/also pr. [qǐ lái],3,3,13,3,10,她弯下腰把包从地上拣起来。,She stooped to pick up her bag from the ground.,,,2290,0
565,应该,應該,yīng gāi,ought to/should/must,3,3,13,3,11,我觉得我应该提醒你。,I feel called upon (ie feel that I ought) to warn you that....,,,2417,0
567,校长,校長,xiào zhǎng,"(college, university) president/headmaster/CL:個|个[gè],位[wèi],名[míng]",3,3,13,4,13,校长宣读优秀生名单。,The school principal read the honor roll list.,,,234,0
568,坏,壞,huài,bad/spoiled/broken/to break down/(suffix) to the utmost,3,3,13,4,14,他用金属丝将坏椅子绑好了。,He has wired the broken chair together.,,,404,0
569,经常,經常,jīng cháng,frequently/constantly/regularly/often/day-to-day/everyday/daily,3,3,13,4,15,我们经常在教室里学习语文和英语。,We usually study Chinese and English in our classroom.,,,1049,0
570,打扫,打掃,dǎ sǎo,to clean/to sweep,3,3,14,1,1,他昨天没打扫房间。,He didn't clean the room yesterday.,,,30,0
571,干净,乾淨,gān jìng,clean/neat,3,3,14,1,2,房间干净得一尘不染。,The room was spotlessly clean.,,,149,0
572,然后,然後,rán hòu,after/then (afterwards)/after that/afterwards,3,3,14,1,3,他打了个呵欠，然后就睡觉了。,He gave a yawn and then fell asleep.,,,1835,0
573,冰箱,冰箱,bīng xiāng,"icebox/freezer cabinet/refrigerator/CL:臺|台[tái],個|个[gè]",3,3,14,1,4,冰箱有点问题。,The refrigerator is not functioning well.,,,75,0
574,洗澡,洗澡,xǐ zǎo,to bathe/to take a shower,3,3,14,2,5,我在浴室洗澡。,I take a bath in the bathroom.,,,57,0
575,节目,節目,jié mù,"program/item (on a program)/CL:臺|台[tái],個|个[gè],套[tào]",3,3,14,2,6,这个节目正用立体声播放。,This program is being broadcast in stereo.,,,800,0
576,月亮,月亮,yuè liang,the moon,3,3,14,3,7,一朵浮云遮住了月亮。,A cloud came over the moon.,,,123,0
577,像,像,xiàng,to resemble/to be like/to look as if/such as/appearance/image/portrait/image under a mapping (math.),3,3,14,3,8,他就像我的儿子一样。,He was like a son to me.,,,3406,0
578,盘子,盤子,pán zi,tray/plate/dish/CL:個|个[gè],3,3,14,3,9,他把食物堆放在盘子里。,He heaped food on the plate.,,,4,0
579,刮风,颳風,guā fēng,to be windy,3,3,14,3,10,今天刮风，穿上你的夹克。,It's windy today. Put on your jacket.,,,0,0
580,叔叔,叔叔,shū shu,father's younger brother/uncle/Taiwan pr. [shú shu]/CL:個|个[gè],3,3,14,3,11,我们不时收到叔叔的来信。,We get letters from our uncle from time to time.,,,25,0
581,阿姨,阿姨,ā yí,maternal aunt/step-mother/childcare worker/nursemaid/woman of similar age to one's parents (term of address used by child)/CL:個|个[gè],3,3,14,3,12,莎拉阿姨很胖。,aunt Sarah is fat.,,,61,0
582,故事,故事,gù shì,old practice/CL:個|个[gè],3,3,14,3,13,这是一个完整的故事吗？,Is this a complete story?,,,1200,0
583,声音,聲音,shēng yīn,voice/sound/CL:個|个[gè],3,3,14,3,14,空气是声音的传播媒介。,Air is a medium for sound.,,,766,0
584,菜单,菜單,cài dān,"menu/CL:份[fèn],張|张[zhāng]",3,3,14,4,15,我能看看菜单吗？,May I see the menu?,,,186,0
585,简单,簡單,jiǎn dān,simple/not complicated,3,3,14,4,16,生活在她眼里，实在简单得很。,Life as she saw it was quite simple.,,,2191,0
586,香蕉,香蕉,xiāng jiāo,"banana/CL:枝[zhī],根[gēn],個|个[gè],把[bǎ]",3,3,14,4,17,香蕉是热带植物。,Bananas are tropical plants.,,,82,0
587,留学,留學,liú xué,to study abroad,3,3,15,1,1,留学咨询,consulting on the study abroad,,,1891,0
588,水平,水平,shuǐ píng,level (of achievement etc)/standard/horizontal,3,3,15,1,2,我渴望提高生活水平。,I want to elevate the living standards.,,,534,0
589,提高,提高,tí gāo,to raise/to increase/to improve,3,3,15,1,3,语言实验室将帮助你提高听力。,The language laboratory will help you (to) improve your listening ability.,,,2257,0
590,练习,練習,liàn xí,to practice/exercise/drill/practice/CL:個|个[gè],3,3,15,1,4,他的练习里没有多少错误。,There aren't many mistakes in his exercise.,,,807,0
591,完成,完成,wán chéng,to complete/to accomplish,3,3,15,1,5,任务完成了。,The task is complete.,,,819,0
592,句子,句子,jù zi,sentence/CL:個|个[gè],3,3,15,1,6,这个句子不可分析。,This sentence won't construe.,,,775,0
593,其他,其他,qí tā,other/(sth or sb) else/the rest,3,3,15,1,7,他的动机受到其他人的怀疑。,His motives were suspect with others.,,,3260,0
594,发,發,fā,to send out/to show (one's feeling)/to issue/to develop/to make a bundle of money/classifier for gunshots (rounds),3,3,15,1,8,我可以给我朋友发一个E-mail吗？,May I send my friend an e-mail?,,,2048,0
595,要求,要求,yāo qiú,to request/to require/requirement/to stake a claim/to ask/to demand/CL:點|点[diǎn],3,3,15,2,9,防避强风也是基本要求。,Shelter from strong winds is also basic requirement.,,,1303,0
596,注意,注意,zhù yì,to take note of/to pay attention to,3,3,15,2,10,以后要多注意。,Pay more attention in future.,,,1884,0
597,小云,小雲,xiǎo yún,(name),3,3,15,2,,,,,1,,
598,上网,上網,shàng wǎng,"to go online/to connect to the Internet/(of a document etc) to be uploaded to the Internet/(tennis, volleyball etc) to move in close to the net",3,3,15,3,11,现在，许多人通过上网来获取信息。,Many people now get information by surfing on the Internet.,,,710,0
599,除了,除了,chú le,besides/apart from (... also...)/in addition to/except (for),3,3,15,3,12,她在这里时除了抱怨还是抱怨。,She did nothing except complain while she was here.,,,818,0
600,新闻,新聞,xīn wén,"news/CL:條|条[tiáo],個|个[gè]",3,3,15,3,13,头版新闻,first page(=front page) news,,,2548,0
602,极了,極了,jí le,extremely/exceedingly,3,3,15,3,15,我快乐极了。,I am extremely happy.,,,54,0
603,节日,節日,jié rì,holiday/festival/CL:個|个[gè],3,3,15,4,16,节日持续了两星期。,The festival lasted two weeks.,,,439,0
605,世界,世界,shì jiè,world/CL:個|个[gè],3,3,15,4,18,中国菜世界闻名。,Chinese food is famous worldwide.,,,3723,0
606,街道,街道,jiē dào,street/CL:條|条[tiáo]/subdistrict/residential district,3,3,15,4,19,宾馆就在街道的尽头。,The hotel is at the end of that street.,,,35,0
608,文化,文化,wén huà,"culture/civilization/cultural/CL:個|个[gè],種|种[zhǒng]",3,3,15,4,21,大学是文化中心。,Universities are centres of culture.,,,1787,0
609,城市,城市,chéng shì,city/town/CL:座[zuò],3,3,16,1,1,这城市充满生机。,The city is vibrant with life.,,,784,0
610,如果,如果,rú guǒ,if/in case/in the event that,3,3,16,1,2,如果她能够痊愈康复，那差不多是奇迹了。,It would be little short of a miracle if she recovered.,,,5504,0
611,认为,認為,rèn wéi,to believe/to think/to consider/to feel,3,3,16,1,3,我认为他不是一个懒惰学生。,I don' t think he is a lazy pupil.,,,1263,0
612,皮鞋,皮鞋,pí xié,leather shoes,3,3,16,2,4,请稍等片刻，我把皮鞋略微擦一擦。,Wait a minute and I'll give my shoes a once-over,,,16,0
613,帽子,帽子,mào zi,hat/cap/(fig.) label/bad name/CL:頂|顶[dǐng],3,3,16,2,5,他跪下拾帽子。,He knelt down to pick up his hat.,,,30,0
614,长,長,zhǎng,chief/head/elder/to grow/to develop/to increase/to enhance,3,3,16,2,6,桔子在英国长不好。,Oranges will not grow well in England.,,,2815,0
615,可爱,可愛,kě ài,adorable/cute/lovely,3,3,16,2,7,她戴的帽子多可爱呀！,What an adorable hat she is wearing!,,,292,0
616,米,米,mǐ,rice/CL:粒[lì]/meter (classifier),3,3,16,2,8,我能跳 6 米多。,I can jump for more than 6 meters.,,,1898,1
616,米,米,mǐ,surname Mi,3,3,16,2,8,我能跳 6 米多。,I can jump for more than 6 meters.,,,1894,0
617,公斤,公斤,gōng jīn,kilogram (kg),3,3,16,2,9,公斤是千克公制中质量的基本单位。,Kilogram is the base unit of mass in the International System.,,,86,0
618,鼻子,鼻子,bí zi,"nose/CL:個|个[gè],隻|只[zhī]",3,3,16,2,10,由于感冒我的鼻子塞住了。,My nose is stuffed up with the cold.,,,172,0
619,头发,頭髮,tóu fa,hair (on the head),3,3,16,2,11,编成辫子的头发,hair braided in plaits,,,242,0
620,检查,檢查,jiǎn chá,inspection/to examine/to inspect/CL:次[cì],3,3,16,3,12,他的工作是检查许可证。,His work is the check license.,,,416,0
621,刷牙,刷牙,shuā yá,to brush one's teeth,3,3,16,3,13,我饭前刷牙洗脸。,I brush my teeth and wash my face before breakfast.,,,10,0
622,关系,關係,guān xi,relation/relationship/to concern/to affect/to have to do with/guanxi/CL:個|个[gè],3,3,16,4,14,这个与我有关系吗？,Does this concern me?,,,2085,0
622,关系,關系,guān xi,variant of 關係|关系[guān xi],3,3,16,4,14,这个与我有关系吗？,Does this concern me?,,,2080,0
623,别人,別人,bié ren,other people/others/other person,3,3,16,4,15,她老是喜欢管别人的闲事。,She was always fond of putting her spoon into other people's broth.,,,2272,0
625,请假,請假,qǐng jià,to request leave of absence,3,3,17,1,1,我是打电话来请假的。,I'm calling to ask for a day off.,,,39,0
626,一共,一共,yī gòng,altogether,3,3,17,1,2,一共388元,The total amount is 388 yuan,,,66,0
627,邻居,鄰居,lín jū,neighbor/next door/CL:個|个[gè],3,3,17,2,3,她与邻居不和。,She is at enmity with her neighbors.,,,104,0
628,后来,後來,hòu lái,afterwards/later,3,3,17,2,4,后来人们发现了事情的真相。,Later the people tumbled to it.,,,849,0
629,爱好,愛好,ài hào,to like/to take pleasure in/keen on/fond of/interest/hobby/appetite for/CL:個|个[gè],3,3,17,2,5,读书是我的爱好。,"Reading is my hobby,",,,126,0
630,办法,辦法,bàn fǎ,"means/method/way (of doing sth)/CL:條|条[tiáo],個|个[gè]",3,3,17,3,6,总会有办法让我发挥才智。,There must be some way to put my mind to good use.,,,482,0
631,饱,飽,bǎo,to eat till full/satisfied,3,3,17,3,7,我觉得很饱了。,I feel I am full already .,,,130,0
632,为了,為了,wèi le,in order to/for the purpose of/so as to,3,3,17,3,8,他出国是为了继续进修。,He'll go abroad so that he may continue his study.,,,1701,0
633,决定,決定,jué dìng,"to decide (to do something)/to resolve/decision/CL:個|个[gè],項|项[xiàng]/certainly",3,3,17,3,9,他决定到海外留学。,He resolved on going abroad to study.,,,814,0
634,选择,選擇,xuǎn zé,to select/to pick/choice/option/alternative,3,3,17,4,10,我做了这个选择并不后悔。,I didn't regret the choice I had made.,,,3521,0
635,冬天,冬天,dōng tiān,winter/CL:個|个[gè],3,3,17,4,11,冬天我们吃大量的白菜。,We eat a lot of cabbages in winter.,,,190,0
636,必须,必須,bì xū,to have to/must/compulsory/necessarily,3,3,17,4,12,我必须5点回来吗？,"Must I come back before five o'clock? Yes, you must. / No, you needn't",,,1517,0
637,根据,根據,gēn jù,according to/based on/basis/foundation/CL:個|个[gè],3,3,17,4,13,根据需要。,according to the need,,,1583,0
640,渴,渴,kě,thirsty,3,3,17,4,16,我又饿又渴！,I'm hungry! I'm thirsty!,,,65,0
641,向,向,xiàng,surname Xiang,3,3,18,1,1,她已向法院申请离婚。,She has filed a petition for divorce.,,,3887,0
641,向,嚮,xiàng,to tend toward/to guide/variant of 向[xiàng],3,3,18,1,1,她已向法院申请离婚。,She has filed a petition for divorce.,,,3889,0
641,向,向,xiàng,towards/to face/to turn towards/direction/to support/to side with/shortly before/formerly/always/all along,3,3,18,1,1,她已向法院申请离婚。,She has filed a petition for divorce.,,,3892,1
641,向,曏,xiàng,variant of 向[xiàng]/direction/orientation/to face/to turn toward/to/towards/shortly before/formerly,3,3,18,1,1,她已向法院申请离婚。,She has filed a petition for divorce.,,,3887,0
642,万,萬,wàn,surname Wan,3,3,18,1,2,几百万人失业了。,Millions of men were out of work.,,,6388,0
642,万,萬,wàn,ten thousand/a great number,3,3,18,1,2,几百万人失业了。,Millions of men were out of work.,,,6389,1
643,只,隻,zhī,"classifier for birds and certain animals, one of a pair, some utensils, vessels etc",3,3,18,2,3,一只狗咬了他的臂膀。,A bark hurt his arm.,,,3117,0
644,嘴,嘴,zuǐ,"mouth/beak/nozzle/spout (of teapot etc)/CL:張|张[zhāng],個|个[gè]",3,3,18,2,4,她的口红涂到了嘴的四周。,Her lipstick was smeared around her mouth.,,,220,0
645,动物,動物,dòng wù,"animal/CL:隻|只[zhī],群[qún],個|个[gè]",3,3,18,2,5,马是对人类有帮助的动物。,The horse is an animal assistant to man.,,,615,0
646,段,段,duàn,"paragraph/section/segment/stage (of a process)/classifier for stories, periods of time, lengths of thread etc",3,3,18,2,6,逐字直译一段文章,translate a passage literally,,,6519,1
646,段,段,duàn,surname Duan,3,3,18,2,6,逐字直译一段文章,translate a passage literally,,,6517,0
647,不但……而且……,不但……而且……,bùdàn érqiě,not only... but also...,3,3,18,3,7,他不但听到，而且也看到了。,"He not only heard it, but he saw it, too.",,,,
648,有名,有名,yǒu míng,famous/well-known,3,3,18,3,8,有名的比萨塔是斜的。,The famous tower of Pisa leans at an angle.,,,92,0
649,同意,同意,tóng yì,to agree/to consent/to approve,3,3,18,3,9,我完全同意你的意见。,I totally agree with you.,,,321,0
650,相信,相信,xiāng xìn,to be convinced (that sth is true)/to believe/to accept sth as true,3,3,18,3,10,我不相信有鬼。,"I don' t believe in ghosts, ie don' t believe that they exist.",,,1041,0
651,关于,關於,guān yú,pertaining to/concerning/with regard to/about/a matter of,3,3,18,3,11,他把关于那件事的消息透露给我了。,He gave me some tips on the matter.,,,3804,0
652,机会,機會,jī huì,opportunity/chance/occasion/CL:個|个[gè],3,3,18,3,12,就业机会。,an employment opportunity,,,704,0
653,国家,國家,guó jiā,country/nation/state/CL:個|个[gè],3,3,18,4,13,人口密度高的国家,a densely populated country,,,1703,0
654,种,種,zhǒng,"seed/species/kind/type/classifier for types, kinds, sorts",3,3,18,4,14,你熟悉哪种电脑？,What kind of computers are you experienced in?,,,2828,0
656,奇怪,奇怪,qí guài,strange/odd/to marvel/to be baffled,3,3,18,4,16,一种奇怪的感觉支配着我。,A strange feeling comes over me.,,,163,0
657,地,地,de,"-ly/structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct",3,3,18,4,17,那不可能，她自言自语地说。,"""That's impossible,"" she thought aloud.",,,6864,0
658,耳朵,耳朵,ěr duo,"ear/CL:隻|只[zhī],個|个[gè],對|对[duì]/handle (on a cup)",3,3,19,1,1,声音对耳朵的冲击,the impact of sound on the ear,,,217,0
659,脸,臉,liǎn,"face/CL:張|张[zhāng],個|个[gè]",3,3,19,1,2,脸不变色心不跳。,"One's face does not change colour, nor does one's heart beat faster -- without a trace of fear.",,,1077,0
660,短,短,duǎn,short/brief/to lack/weak point/fault,3,3,19,1,3,他头发很短，没有刮脸。,His hair was very short but his cheeks were unshaven.,,,672,0
661,马,馬,mǎ,horse/CL:匹[pǐ]/horse or cavalry piece in Chinese chess/knight in Western chess,3,3,19,2,4,他沿着湖岸纵马疾驰。,He bucked the house out along the shore of the lake.,,,1609,1
661,马,馬,mǎ,surname Ma/abbr. for Malaysia 馬來西亞|马来西亚[mǎ lái xī yà],3,3,19,2,4,他沿着湖岸纵马疾驰。,He bucked the house out along the shore of the lake.,,,1604,0
663,位,位,wèi,position/location/place/seat/classifier for people (honorific)/classifier for binary bits (e.g. 十六位 16-bit or 2 bytes)/(physics) potential,3,3,19,2,6,这位旅行家漫游世界。,The traveler roamed about the world.,,,3950,0
664,蓝,藍,lán,blue/indigo plant,3,3,19,2,7,黄与蓝是互补色。,Yellow and blue are complementary colors.,,,490,1
664,蓝,藍,lán,surname Lan,3,3,19,2,7,黄与蓝是互补色。,Yellow and blue are complementary colors.,,,490,0
665,秋天,秋天,qiū tiān,autumn/CL:個|个[gè],3,3,19,3,8,树叶在秋天枯萎。,Leaves shrivel in autumn.,,,88,0
666,过,過,guò,surname Guo,3,3,19,3,9,你暑假怎么过的？,How did you spend your summer holiday?,,,11385,0
666,过,過,guò,to cross/to go over/to pass (time)/to celebrate (a holiday)/to live/to get along/excessively/too-,3,3,19,3,9,你暑假怎么过的？,How did you spend your summer holiday?,,,11391,1
667,鸟,鳥,niǎo,"bird/CL:隻|只[zhī],群[qún]/(dialect) to pay attention to/(intensifier) damned/goddam",3,3,19,3,10,鸟天生就会飞。,It is natural for a bird to fly.,,,281,0
668,哭,哭,kū,to cry/to weep,3,3,19,3,11,为自己的不幸而哭,cry over one's misfortune (=bad luck),,,372,0
669,黄河,黃河,huáng hé,Yellow River or Huang He,3,3,19,4,12,黄河向东流。,The Yellow River takes its course to the east.,,,18,0
670,船,船,chuán,"boat/vessel/ship/CL:條|条[tiáo],艘[sōu],隻|只[zhī]",3,3,19,4,13,漩涡吞没了那只船。,The whirlpool sucked in the boat.,,,290,0
670,船,舩,chuán,variant of 船[chuán],3,3,19,4,13,漩涡吞没了那只船。,The whirlpool sucked in the boat.,,,290,0
671,经过,經過,jīng guò,to pass/to go through/process/course/CL:個|个[gè],3,3,19,4,14,我上班时经过教堂。,I pass the church on my way to work.,,,618,0
672,照相机,照相機,zhào xiàng jī,"camera/CL:個|个[gè],架[jià],部[bù],台[tái],隻|只[zhī]",3,3,20,1,1,我带了照相机。,I have a camera.,,,9,0
673,被,被,bèi,"quilt/by/(indicates passive-voice clauses)/(literary) to cover/to meet with/(coll.) (since c. 2009) used before a verb that does not accurately represent what actually happened, to describe with black humor how sb or sth was dealt with by the authorities (as in 被自殺|被自杀[bèi zì shā])",3,3,20,1,2,我猜想我们的电话被窃听了。,I guess our telephone has been tapped.,,,8162,0
674,难过,難過,nán guò,to feel sad/to feel unwell/(of life) to be difficult,3,3,20,1,3,她一走我们都很难过。,We were all sad at her going.,,,62,0
675,东,東,dōng,east/host (i.e. sitting on east side of guest)/landlord,3,3,20,1,4,地球从西向东旋转。,The earth rotates from west to east.,,,1620,1
675,东,東,dōng,surname Dong,3,3,20,1,4,地球从西向东旋转。,The earth rotates from west to east.,,,1619,0
676,信用卡,信用卡,xìn yòng kǎ,credit card,3,3,20,1,5,我能用支票或信用卡吗？,Can I pay by check or credit card?,,,326,0
677,关心,關心,guān xīn,to be concerned about/to care about,3,3,20,2,6,我关心人，而不是东西。,"I care about people, not things.",,,552,0
678,只有……才……,只有……才……,zhǐyǒu cái,only... then...,3,3,20,2,7,只有两个门都锁好她才觉得安全。,She felt secure only when both doors were locked.,,,,
679,成绩,成績,chéng jì,"achievement/performance records/grades/CL:項|项[xiàng],個|个[gè]",3,3,20,2,8,我悲叹自己的烂成绩,I grieve over my bad grade.,,,1296,0
680,碗,碗,wǎn,"bowl/cup/CL:隻|只[zhī],個|个[gè]",3,3,20,3,9,她用小碗盛汤。,She serve the soup in small bowl .,,,137,0
680,碗,㼝,wǎn,variant of 碗[wǎn],3,3,20,3,9,她用小碗盛汤。,She serve the soup in small bowl .,,,137,0
680,碗,椀,wǎn,variant of 碗[wǎn],3,3,20,3,9,她用小碗盛汤。,She serve the soup in small bowl .,,,137,0
680,碗,盌,wǎn,variant of 碗[wǎn],3,3,20,3,9,她用小碗盛汤。,She serve the soup in small bowl .,,,137,0
682,解决,解決,jiě jué,to settle (a dispute)/to resolve/to solve/to dispose of/to dispatch,3,3,20,4,11,她运用智慧解决了这一问题。,She exercised her intelligence to solve the problem.,,,1865,0
683,试,試,shì,to test/to try/experiment/examination/test,3,3,20,4,12,试一下未尝不可。,We may [might] just as well have a try.,,,1340,0
685,多么,多麼,duō me,how (wonderful etc)/what (a great idea etc)/however (difficult it may be etc)/(in interrogative sentences) how (much etc)/to what extent,3,3,20,4,14,瞧她的脸色，有多么苍白！,She had certainly turned very pale.,,,579,0
686,极,極,jí,"extremely/pole (geography, physics)/utmost/top",3,3,补充,,,他是一位极有名望的艺术家。,He is an artist of great renown.,,,736,0
687,角,角,jiǎo,"angle/corner/horn/horn-shaped/unit of money equal to 0.1 yuan, or 10 cents (a dime)/CL:個|个[gè]",3,3,补充,,,他把落叶堆积在院子一角。,He piled up fallen leaves in a corner of the yard.,,,462,0
688,笔记本,筆記本,bǐ jì běn,notebook (stationery)/CL:本[běn]/notebook (computing),3,3,补充,,,他从笔记本上撕下了一页。,He had torn a leaf out of his notebook.,,,114,0
689,秋,秋,qiū,autumn/fall/harvest time,3,3,补充,,,春、夏、秋、冬是四季。,"Spring, summer, autumn and winter are the four seasons.",,,407,1
689,秋,秌,qiū,old variant of 秋[qiū],3,3,补充,,,春、夏、秋、冬是四季。,"Spring, summer, autumn and winter are the four seasons.",,,406,0
689,秋,鞦,qiū,see 鞦韆|秋千[qiū qiān],3,3,补充,,,春、夏、秋、冬是四季。,"Spring, summer, autumn and winter are the four seasons.",,,406,0
689,秋,秋,qiū,surname Qiu,3,3,补充,,,春、夏、秋、冬是四季。,"Spring, summer, autumn and winter are the four seasons.",,,406,0
690,南,南,nán,south,3,3,补充,,,拔婆跋摩并未兼并扶南。,Bhavavarman did not annex Funan.,,,680,1
690,南,南,nán,surname Nan,3,3,补充,,,拔婆跋摩并未兼并扶南。,Bhavavarman did not annex Funan.,,,679,0
691,春,旾,chūn,old variant of 春[chūn],3,3,补充,,,春回大地，万象更新。,"With the coming of spring, everything is fresh again.",,,1262,0
691,春,春,chūn,spring (season)/gay/joyful/youthful/love/lust/life,3,3,补充,,,春回大地，万象更新。,"With the coming of spring, everything is fresh again.",,,1263,1
691,春,春,chūn,surname Chun,3,3,补充,,,春回大地，万象更新。,"With the coming of spring, everything is fresh again.",,,1262,0
692,夏,夏,xià,summer,3,3,补充,,,别夏已被炸成瓦砾。,Beja has been bombed to rubble.,,,1294,1
692,夏,夏,xià,the Xia or Hsia dynasty c. 2000 BC/Xia of the Sixteen Kingdoms (407-432)/surname Xia,3,3,补充,,,别夏已被炸成瓦砾。,Beja has been bombed to rubble.,,,1295,0
